TXT003,TXT012,TXT013,TXT014,TXT015,TXT016,TXT017,TXT018,TXT019,TXT020,TXT021,TXT022,TXT023,a1,a2,a3
30135,Marco General e Iniciación de Proyectos,Explica los fundamentos básicos para la gestión de proyectos y los conceptos básicos de la iniciación de proyectos y los aplica en la elaboración del acta de constitución del proyecto bajo un claro enfoque de entrega de valor.,3,Planificación del Alcance y del Tiempo del Proyecto,Desarrolla la planificación de los proyectos y los aplica en la elaboración de los entregables para la gestión del alcance y la gestión del tiempo del proyecto.,4,"Planificación del Costo, de los Riesgos, de los Recursos y de los Interesados del Proyecto","Desarrolla la planificación de los proyectos y los aplica en la elaboración de los entregables para la gestión del presupuesto, la gestión de los riesgos, la gestión de los recursos y la gestión de los interesados del proyecto.",4,"Ejecución, Control y Cierre de Proyectos","Explica conceptos básicos de la ejecución, control y cierre de los proyectos y los aplica en la integración de los recursos, el control del avance y el cierre para lograr la conformidad de los resultados de los proyectos.",3.0,,,
30136,Conceptos básicos de la gestión de servicios,Identifica los conceptos generales y la evolución histórica del marco de referencia ITIL.,3,Dimensiones de la gestión de servicios,Identifica las 5 dimensiones de la Gestión de Servicios y entiende su participación en el proceso de creación de valor.,4,Sistema del valor del servicio,"Entiende la importancia de este componente clave del marco ITIL, para el sistema de valor del servicio ITIL (SVS). Revisión general de las prácticas del servicio.",4,Prácticas del servicio,"Contrasta la importancia y aportes de las prácticas generales, prácticas de gestión del servicio y prácticas de gestión técnica.",3.0,,,
30137,Elementos del Control Interno,"Identifica los elementos del control interno en diferentes tipos de empresas, en base al marco integrado de control interno emitido por COSO.",3,Administración y control del riesgo,Identifica los principales riesgos que afectan los negocios aplicando políticas y metodologías orientadas a mejorar la rentabilidad y liquidez.,4,"Administración del riesgo de precios, portafolio y mercado","Reconoce los riesgos que enfrentan las empresas ante variaciones en los precios, los movimientos en los valores del portafolio de inversiones y los factores propios del mercado.",3,Impacto de los riesgos en la rentabilidad y liquidez del negocio,Analiza la información financiera referida a una empresa reconociendo los riesgos de negocios como parte relevante en la determinación de la rentabilidad y liquidez.,4.0,,,
30138,Gestión estratégica del talento humano,Define la gestión del talento humano dentro de la estrategia de la organización y la forma en la que agrega valor al negocio.,4,Cultura empresarial,"Determina las acciones idóneas en la gestión del talento humano, a partir del entendimiento de la cultura organizacional de una empresa.",3,Gestión del cambio y modelo de competencias,"Gestiona en cambio producto de acciones internas y externas a la organización, asimismo, diseña el modelo de competencias.",3,Incorporación y desarrollo del talento humano,Toma las decisiones más apropiadas en cuanto a la contratación y desarrollo de los colaboradores de una organización.,4.0,,,
30139,Conceptos y tendencias de los sistemas integrados de gestión empresarial,Analiza procesos y resultados de soluciones tecnológicas aplicados en sistemas integrados de TI.,4,Gestión de proyectos,Utiliza los sistemas integrados en todas las etapas de la gestión de proyectos.,3,Aplicación de sistemas integrados en proyectos de TI,Plantea soluciones tecnológicas para distintas áreas de una empresa a través de sistemas integrales de TI.,4,Sistemas aplicados a operaciones e inteligencia de negocios,Utiliza los sistemas integrados en las funciones operativas y de inteligencia de negocios en las empresas.,3.0,,,
30140,La organización y las teorías administrativas,"Analiza las diferentes variables que están implícitas en la vida de una organización, identificando las principales tendencias actuales de gestión.",3,Planeación estratégica de una organización,"Desarrolla un modelo secuencial de planeamiento estratégico, al momento de generar un proyecto empresarial de comunicaciones.",4,Gestión del talento humano,Analiza y evalúa de forma sistémica los procesos de gestión del talento para incrementar el valor de las personas en la consolidación de un proyecto empresarial de comunicaciones.,3,Nuevas corrientes y modelos del management,Comprende el impacto actual que tienen las nuevas tendencias organizacionales en la búsqueda de nuevas oportunidades de negocios.,4.0,,,
30141,El Proyecto Editorial,Reconoce y valora la importancia del plan editorial como base para el desarrollo de un producto editorial. Desarrolla un estudio de mercado y el perfil del lector además de una propuesta de diseño. Elabora un temario periodísticamente novedoso y viable.,3,Generación de Contenidos,"Desarrolla el contenido periodístico de una revista deportiva, respetando el criterio establecido en el plan editorial. Realiza la cobertura periodística de los temas acordados en el temario que incluyan entrevistas, recopilación de información y captura de imágenes (foto y video).",4,Contenidos Multimedia,Entiende los criterios detrás del periodismo multimedia y aplica las técnicas adecuadas para la cobertura periodística digital.,4,La Pre y Post Prensa,"Reconoce los criterios detrás del cuidado final del producto: revisión de ortografía, sintaxis, redacción, fact checking, cuidado de la unidad gráfica y diseño.",3.0,,,
30143,Análisis de los formatos radiofónicos,Utiliza los formatos radiofónicos y sus relaciones comunicativas en el lenguaje radial.,4,Construcción de guiones,Estructura la información para la construcción de un guión de acuerdo a los formatos radiofónicos y su utilidad.,3,Diseño de proyectos radiales,Elabora proyectos radiales de intervención usando herramientas tecnológicas de última generación.,4,Programación y producción radial,"Diseña programas radiales de calidad a partir de técnicas actuales, documentación, selección de efectos sonoros y música para captar el interés de la audiencia.",3.0,,,
30144,"Siglo XX: Modernidad, nueva sociedad nuevo arte",Comprende la nueva concepción del arte con la llegada de la Modernidad y los principales acontecimientos históricos que motivaron el surgimiento de las vanguardias artísticas a partir de organizadores visuales.,3,"Vanguardias, fotografía, animación y publicidad",Aplica de forma creativa el análisis de diversas tendencias artísticas del siglo XX en propuestas visuales de carácter personal y narrativas de carácter social.,4,Postmodernidad: Hacia una cultura ecléctica,Construye propuestas visuales a partir del análisis del contexto socio cultural de la Postmodernidad y los nuevos códigos visuales que generan las diferentes tendencias artísticas de la segunda mitad del S. XX.,4,Desarrollo de una propuesta visual enfocada en el entorno cultural actual,Analiza una problemática del entorno local en la elaboración de un proyecto visual interdisciplinario con un discurso crítico y creativo.,3.0,,,
30145,El Deporte en la Antigüedad,"Analiza la evolución del deporte, reconociendo en cada etapa, sus aportes al mundo contemporáneo.",4,Los Juegos Olímpicos Modernos,"Identifica los gestores de los Juegos Olímpicos Modernos y los sucesos ocurridos hasta su inauguración, así como también las Instituciones Internacionales creadas a partir de los Juegos.",3,Inicios del Deporte en el Perú,Analiza la evolución del fútbol a través del tiempo en el Perú.,4,Deportes con gloria practicados en el Perú,Reconoce otros deportes que forman parte de la cultura peruana e identifica a los deportistas más resaltantes que hicieron historia hasta nuestros días.,3.0,,,
30149,Introducción a la ilustración digital,"Comprende el concepto de la ilustración, procesos y pautas para el desarrollo de ilustración digital.",4,Técnicas de ilustración digital,Aplica el proceso de ilustración y selecciona las herramientas adecuadas para componer una ilustración digital a partir de un concepto generado.,3,Técnicas avanzadas de ilustración digital,Realiza una ilustración utilizando técnicas avanzadas de selección y retoque de color aplicando volumen y acabado realista a su trabajo.,4,La ilustración vectorial,Diseña una pieza gráfica destinada a una campaña publicitaria combinando técnicas vectoriales con retoques sobre pixeles.,3.0,,,
30151,La empresa y la contabilidad,"Analiza el ciclo operativo de la empresa, reconociendo la presencia de la contabilidad en todos sus componentes.",3,Proceso de Información Financiera,Analiza el proceso de información financiera contable participando en la formulación de los estados financieros básicos de la empresa.,4,Lectura e interrelación de estados financieros,Analiza y relaciona la información que brinda cada uno de los estados financieros de una empresa.,4,Interpretación de Estados Financieros,Analiza e interpreta los estados financieros a partir de las diversas operaciones de la empresa.,3.0,,,
30152,"Nutrición, métodos y técnicas de cocción.",Aplica los principios de la nutrición en la propuesta de un menú balanceado.,6,La organización de la cocina y demás departamentos en un establecimiento de alimentos y bebidas,Gestiona las diversas actividades del área de alimentos y bebidas según el tipo de establecimiento.,4,Ventajas de la técnicas de rentabilidad popularidad.,"Aplica estrategias de marketing a partir de la evaluación de la rentabilidad, demanda y costos de los platos ofrecidos en una carta para",3,Exposición oral de la carta de tu restaurante,Aplica los fundamentos teóricos para la elaboración de la carta de un restaurante.,1.0,,,
30153,"Matrices, determinantes y vectores",Efectúa cálculos con matrices y determinantes demostrando orden. Efectúa e interpreta geométricamente operaciones con vectores. Relaciona la vinculación que existe entre los conceptos vectoriales y matriciales. Usa el producto escalar y vectorial para hallar datos,4,Cónicas,Gráfica las cónicas identificando sus elementos,3,"Funciones lineales, cuadrática, trigonométricas. Nociones de cinemática. Cálculo diferencial e integral",Resuelve problemas de optimización usando derivadas de situaciones reales. Calcula integrales usando fórmulas.,7,,,,,,
30154,Pastelería Dulce,Analiza las técnicas de elaboración y cocción de diferentes masas base.,4,Pastelería Salada,Analiza las técnicas de elaboración y la aplicación de las masas en las diferentes preparaciones.,3,Buffet y Panadería Nacional e Internacional,Estudia las técnicas de BPM en la elaboración de los productos.,4,Postres de restaurant nacionales e internacionales y chocolatería,Analiza las técnicas de elaboración de masas fermentadas y su aplicación en la panadería de postres al plato.,3.0,,,
30155,Administración de las Finanzas,Aplica los principales conceptos de finanzas a las operaciones del negocio e interpreta los resultados financieros de la empresa.,4,Gestión de Capital de Trabajo,Optimiza los recursos empresariales con el fin de mejorar los resultados financieros a corto plazo.,3,Planeamiento Financiero,"Proyecta inversiones, ingresos y gastos para estimar futuros resultados o utilidades.",3,Evaluación de Inversiones y Proyectos,Elabora flujos de caja en diferentes escenarios y mide los resultados a través de indicadores de rentabilidad.,4.0,,,
30156,Identificación de los nutrientes de los alimentos,Agrupa los alimentos según su tipología y valor nutricional considerando las porciones para el uso gastronómico,4,"Alimentos cárnicos, aspectos sanitarios y análisis sensorial - Alteración y métodos de conservación de los alimentos",Explica la importancia del consumo de carnes y pescados. Identifica las alteraciones y adulteraciones de los alimentos de cuerpos grasos de origen animal y vegetal.,7,Parámetros de Calidad y usos Gastronómicos,"Analiza los métodos físicos, químicos y microbiológicos para evaluar la calidad de los alimentos.",3,,,,,,
30157,Desarrollo de plan de integración de aplicaciones empresariales,Construye plan de integración de aplicaciones.,4,Desarrollo de aplicaciones Middleware especializados,Realiza aplicaciones middleware para integración de aplicaciones empresariales.,3,Desarrollo de aplicaciones middleware integrada con aplicaciones empresariales.,Realiza aplicaciones middleware para integración de aplicaciones empresariales.,4,Integración de aplicaciones usando Servicios Web y MOM,Realiza integración de aplicaciones usando técnicas avanzadas.,3.0,,,
30158,Movimiento,Representa mapas y caminos que se adapten a la estructura de un grafo y mueve objetos a través de él.,3,Steering behaviours,Prototipa comportamientos autónomos de NPC’s utilizando la técnica de steering behaviours.,4,Máquina de estados,Utiliza máquinas de estados para resolver prototipos.,3,Pathfinding e introducción al machine learning,Utiliza los algoritmos de Dijkstra y A* para resolver caminos y entiende cómo funcionan los algoritmos de deep learning y sus posibles aplicaciones en el desarrollo de videojuegos.,4.0,,,
30159,"Conceptualización, tendencias e impacto de la gestión comercial","Identifica las tendencias del entorno global, digital y dinámico en el cual se hacen negocios en la actualidad.",3,Dimensión estratégica de la gestión comercial,Analiza las estrategias comerciales en diferentes situaciones del entorno global de una empresa.,4,Dimensión gestionaría de la gestión comercial,Aplica las técnicas de gestión de la fuerza de ventas de las áreas comerciales de las empresas de diferentes rubros.,4,Seguimiento y control de la gestión comercial,Reconoce las diferentes herramientas de gestión e indicadores de desempeño existentes y entienden el beneficio de su utilización.,3.0,,,
30160,Fundamentos y técnicas de Programación,"Crea soluciones utilizando herramientas de algoritmia, elaborando procesos de respuesta con la ayuda de variables, operadores, expresiones y empieza a desarrollar programas básicos con un lenguaje de programación.",3,Definición de estructuras condicionales,Crea soluciones utilizando estructuras condicionales que hacen referencias a la toma lógica de decisiones. Realiza planteamientos algorítmicos para validar respuestas.,4,Definición de estructuras repetitivas,Crea soluciones utilizando estructuras repetitivas que hacen referencias a la toma lógica de decisiones para la ejecución iterativa de las instrucciones. Realiza planteamientos algorítmicos para validar respuestas.,3,Métodos y Arreglos,"Adapta soluciones con el uso de métodos, de tal manera que agrupa instrucciones comunes que se ejecutarán en un determinado momento con una invocación desde el programa principal.",4.0,,,
30161,"Introducción al desarrollo 2D, frameworks y motores de desarrollo",Conoce y comprende las diferencias de los entornos de desarrollo para proyectos en 2D. Importa recursos 2D y es capaz de crear proyectos utilizando herramientas de software específico. Explora la interfaz de Unity y configura sus propios proyectos.,3,Manejo de assets 2D,Comprende el manejo de los distintos recursos disponibles que se pueden encontrar en los motores de desarrollo de videojuego 2D. Implementa y define qué recursos necesita para las distintas fases de desarrollo de su videojuego en 2D.,4,Física y diseño de escenas 2D,"Diseña escenarios en 2D según los requerimientos de su proyecto. Utiliza las librerías físicas de Unity para agregar física a los elementos en el escenario. Utiliza colisiones y cuerpos rígidos, junto con las mecánicas ya implementadas anteriormente.",3,Mecánicas y programación de videojuegos en 2D,Conoce el lenguaje de programación necesario en Unity e integra mecánicas básicas para su personaje y NPC's en el escenario. Diseña distintas mecánicas y razona sobre la lógica que hay detrás de cada una de ellas; dando lugar a una experiencia relacionada y coherente con la jugabilidad de su proyecto.,4.0,,,
30162,Conceptos e identificación de Insights,Explica el comportamiento del consumidor a partir de la identificación del Insight.,3,Técnicas de investigación cualitativa y análisis de Insight,Aplica las distintas técnicas de investigación cualitativa y análisis de insight para sustentar proyectos de marca.,4,Comportamiento del consumidor,Analiza los aspectos externos que influyen en el comportamiento de los distintos tipos de consumidores.,4,"Estrategias de comunicación, branding e innovación","Elabora una solución para la marca a partir de estrategias de comunicación, branding e innovación.",3.0,,,
30163,Planteamiento de problema de investigación cuantitativa,Define la problemática y formula los objetivos de una investigación cuantitativa de un sector de negocios específico.,3,Metodología de Investigación Cuantitativa,Analiza el ambiente y los procesos de marketing en una empresa.,4,Levantamiento de información y procesamiento de data,Diseña tablas estadísticas a partir del recojo de información de mercado de un caso específico y de la correspondiente codificación del cuestionario empleado.,3,Análisis de resultados del informe,"Analiza cuadros estadísticos a fin de obtener hallazgos de investigación cuantitativa, que permitan tomar decisiones sobre una problemática de negocio específica.",4.0,,,
30164,Proceso de la investigación de mercados,"Identifica los pasos del proceso de una investigación de mercado, reconociendo las diferencias entre una metodología cualitativa y cuantitativa.",3,Investigación de Mercados Cualitativa,Aplica la técnica de la investigación de mercados del tipo cualitativa desde la obtención de información hasta el informe final.,4,Investigación de Mercados Cuantitativa,Aplica la técnica de la investigación de mercados para la elaboración de instrumentos para el recojo de información y el diseño muestral.,4,Investigación de mercados Cuantitativa II,"Aplica la técnica de la investigación de mercados para el trabajo de campo, análisis de información y elaboración del informe final.",3.0,,,
30165,"El Derecho, la persona y la empresa","Identifica las normas legales idóneas para la defensa de sus derechos y el cumplimiento de las obligaciones, como ciudadano y como parte de una organización, de acuerdo al modelo empresarial y la normativa vigente.",4,Creación y constitución de una empresa,Comprende las alternativas idóneas para la constitución de una empresa acorde al modelo de negocios buscado.,3,Negocios con terceros y cumplimiento de la legislación vinculada a la actividad empresarial,Analiza las alternativas para que la empresa cumpla con la normativa vigente velando por los intereses de la organización.,4,"Los tributos en la empresa, los negocios y las normas relacionadas con el Oficial de Cumplimiento y contra LA/FT","Analiza el régimen tributario idóneo para una empresa, según su actividad económica principal, y los límites y recomendaciones que señala la norma legal vigente.",3.0,,,
30166,Fundamentos del derecho para la libertad de expresión,Identifica las fuentes del derecho en cuanto a la libertad de expresión y su relación estrecha con la protección de los derechos humanos.,4,Mecanismos de regulación del derecho a la libertad de expresión,Reconoce los mecanismos a través de los cuales se regula y se protege el derecho a la libertad de expresión.,3,"Contextos, culturas y aspectos críticos que demarcan la libertad de expresión",Comprende el entorno específico que puede establecer los límites para ejercer la comunicación y evidenciar la libertad de expresión.,3,Legislación en el ejercicio de la comunicación,Analiza el marco regulatorio para los medios de comunicación y las redes sociales.,4.0,,,
30167,Operatividad Aduanera,"Reconoce las herramientas de la gestión aduanera para el ingreso y salida de mercancías transportes y personas, así como los principios generales y los operadores del comercio exterior.",4,Regímenes Aduaneros,Aplica los distintos regímenes aduaneros establecidos en la normatividad nacional y supranacional en casos prácticos.,3,Sistema Tributario Aduanero,"Analiza los tributos y demás componentes que establece la deuda tributaria aduanera y su relación con el comercio exterior, el presupuesto público nacional, el sistema tributario peruano y la política arancelaria nacional.",4,Delitos e infracciones aduaneras y competencia desleal,"Identifica los delitos tributarios aduaneros en sus distintas modalidades y agravantes, asimismo, las prácticas desleales en el comercio exterior que genera perjuicio a la libre competencia.",3.0,,,
30168,Fundamentos del derecho para la gestión publicitaria,Identifica las fuentes del derecho en cuanto a la libertad de expresión y su relación estrecha con la protección de los derechos humanos.,4,Principios éticos y regulatorios para la gestión de la publicidad,Comprende los ámbitos de acción ética y legal para la publicidad comercial e institucional.,3,"Contextos, culturas y aspectos críticos que demarcan la gestión publicitaria",Identifica la influencia del entorno que establece los límites y las prioridades para ejercer la publicidad.,3,Legislación en el ejercicio de la publicidad,Analiza el marco regulatorio para la gestión publicitaria en diferentes campos de acción y las plataformas virtuales.,4.0,,,
30170,Introducción a la locución y la narración deportivas,Comprende la importancia de la función y el contexto en el que se desenvolverá el locutor deportivo.,3,Técnicas básicas de locución,"Emplea correctamente técnicas de relajación, respiración, vocalización y dicción, en la práctica de la locución.",4,Locución en eventos deportivos,Domina la locución de transmisiones radiales de eventos deportivos.,4,Locución en programas deportivos,Locuta con solvencia productos radiales en programas deportivos.,3.0,,,
30171,Cadena de suministros,Identifica los procesos logísticos y su ubicación en la cadena de suministros de la empresa para que sea más eficiente y competitiva en los negocios internacionales.,4,Compras y operadores logísticos,Analiza la importancia de la gestión de compras y las funciones de los operadores logísticos en empresas nacionales e internacionales.,3,Gestión logística y distribución física internacional,Analiza los medios de transporte más apropiados y las rutas más eficientes para la ejecución de las operaciones de importación y/o exportación.,3,Costos e Indicadores de control,Determina los diversos costos logísticos aplicando indicadores a los procesos de la cadena de suministros para controlar el desempeño y mejorar la competitividad de la empresa.,4.0,,,
30172,Análisis situacional y objetivos,"Analiza el entorno interno, externo de la empresa y determina los objetivos corporativos y estratégicos.",3,Segmentación y posicionamiento,Utiliza las herramientas de segmentación para diseñar una propuesta de segmentación apropiada para un producto o servicio específicos.,4,Estrategias de marketing aplicadas,"Diseña una estrategia de marketing, siendo coherente y consistente en su planteamiento de segmentación, posicionamiento y objetivos.",3,Estrategias funcionales de marketing mix,"Diseña estrategias de producto, precio, plaza o promoción que cumplan con las estrategias y objetivos definidos en la organización.",4.0,,,
30173,Análisis situacional y diagnóstico,Analiza el entorno interno y externo de la empresa para la elaboración del plan de marketing.,3,Decisiones estratégicas de marketing,Formula los objetivos de marketing a alcanzar y selecciona las estrategias de marketing a seguir.,4,Implementación,"Determina las actividades de implementación para las distintas variables, utilizando elementos apropiados para el plan diseñado.",4,Control,"Determina las actividades de control, utilizando métricas y elementos de seguimiento.",3.0,,,
30174,Implicancias y factores que influyen en los negocios internacionales en el Perú y el Mundo,Analiza elementos conceptuales y hechos del ambiente mundial que condicionan el establecimiento o viabilidad de las operaciones de comercio internacional.,3,Información relevante para el Plan de Marketing Internacional,Sistematiza información de soporte para definir los objetivos y fundamentar la viabilidad del Plan de Marketing Internacional.,4,Determinación del marco estratégico del plan de marketing,Define las estrategias generales y específicas para la puesta en marcha del plan de marketing internacional.,3,Construcción y sustentación del plan de marketing,Implementa el plan de marketing internacional utilizando la información de soporte compilado a partir de fuentes de información secundaria.,4.0,,,
30175,Fundamentos del marketing relacional,Identifica los principales conceptos del marketing relacional y los reconoce como fundamento para el éxito de la estrategia relacional.,3,Estrategias de marketing relacional,"Reconoce las estrategias de marketing relacional, considerando tipo de cliente y producto ofrecido.",4,CRM y gestión de base de datos,Reconoce los principales conceptos del CRM y su importancia para las organizaciones.Identifica el alcance del CRM a través del uso de base de datos.,4,Plan de marketing relacional,"Plantea objetivos, estrategias, programas tácticos, presupuestos y sistemas de evaluación y control para lograr la lealtad de sus clientes.",3.0,,,
30176,Nociones básicas de aritmética y álgebra,"Resuelve problemas que involucran ecuaciones de primer grado, regla de tres simple y porcentajes utilizando recursos básicos de aritmética y álgebra.",4,Aplicaciones de porcentajes,"Usa el cálculo de porcentajes para obtener información, tendencias y estimar el precio de bien o servicio con la finalidad de interpretar, estimar, o emitir alguna conclusión para la toma de decisiones sobre una información dada.",3,Oferta y demanda,"Resuelve problemas donde se apliquen modelos lineales relacionados a la oferta, demanda y punto de equilibrio del mercado para la toma de decisiones.",4,Modelos lineales relacionados a economía de la empresa y optimización,Resuelve problemas donde se apliquen modelos lineales relacionados a la economía de la empresa y optimización para la toma de decisiones.,3.0,,,
30177,Regímenes de interés,"Comprende circuito financiero identificando sus variables, y resuelve operaciones financieras,aplicando diferentes tasas de interés.",7,Anualidades,Resuelve situaciones financieras cotidianas calculando los pagos a realizar a partir del cronograma de pago propuesto.,4,Indicadores para la toma de decisiones de inversión,Selecciona la mejor alternativa de inversión para obtener la mayor rentabilidad de un proyecto viable.,3,,,,,,
30178,Problemática ambiental,"Diseña soluciones a problemas ambientales a escala mundial, nacional y local.",4,Riqueza natural,Describe la categorización de áreas naturales protegidas y su implicancia en el desarrollo.,3,Riqueza cultural,Propone alternativas para promover el turismo sostenible y realzar la riqueza cultural del país.,4,Gestión ambiental con responsabilidad social,Propone alternativas para promover la gestión ambiental con responsabilidad social.,3.0,,,
30179,Mercados de Instrumentos Financieros y Mecanismos de Negociación,"Analiza el funcionamiento del Mercado de Capitales identificando sus componentes, a los participantes del mercado, los productos financieros que se comercializan.",7,Análisis Fundamental y Técnico,Valoriza instrumentos financieros para la toma de decisiones de inversión y financiamiento.,4,Operaciones en bolsa para la toma de decisiones de financiamiento y de inversión,Selecciona la mejor alternativa de financiamiento y de Inversión optimizando rentabilidad a través de operaciones en bolsa,3,,,,,,
30180,Modelado de Cabeza,"Desarrolla el modelado 3D de rostro según Model Sheet, aplicando conocimientos de topología adecuada para animación facial.",4,Modelado de Cuerpo,"Desarrolla el modelado de cabeza, tórax y extremidades según Model Sheet, aplicando conocimientos de topología; y ensambla todo el cuerpo de su modelo.",3,"Accesorios, UVs y Texturizado","Completa su personaje, con cabello, ropa y accesorios, con UVs que no presenten estiramientos o uniones(Seams), y con Texturas acordes a su Character Sheet.",3,Renderizado y Post-Producción,"Sustenta verbalmente y con elementos gráficos su personaje 3D concluido, producto de su Character Sheet, con pose, iluminación, texturas y materiales en un video de rotación de 360°.",4.0,,,
30181,Metodología Startup,"Identifica y valida el problema de clientes potenciales, y aplica las metodologías aprendidas para plantear modelos de negocios.",4,Validación del modelo de negocio,"Diseña el modelo de negocio y lo presenta en un Business Model Canvas, tomando como ejemplos las startups más valiosas del mundo.",3,Diseño del Producto Mínimo Viable (MVP) y Experimentos,Identifica y aplica pivotes al modelo de negocio a través de experimentos con el MVP y sustenta con métricas y resultados.,4,Plan Financiero del modelo de negocio,Desarrolla el plan financiero para demostrar viabilidad y rentabilidad del modelo de negocio.,3.0,,,
30182,Los 3 principios básicos de la negociación,Reconoce los fundamentos teóricos detrás de un proceso de negociación.,3,Marco extendido de la negociación,Incorpora elementos adicionales que afectan el proceso de negociación.,4,El soporte personal de la negociación,Analiza la influencia de factores personales y su dominio en el contexto de una negociación.,3,El proceso de la negociación,"Ejecuta cada uno de los pasos de una negociación, en el contexto de una simulación.",4.0,,,
30183,Teoría del comercio internacional,Analiza las teorías de comercio que sustentan las formas de comerciar en el entorno global.,4,Nuevos temas del comercio internacional y aspectos básicos de aduanas,"Reconoce las tendencias que se presentan en el comercio internacional, así como los fundamentos del funcionamiento de las aduanas.",3,Nomenclatura arancelaria e INCOTERMS,Utiliza con propiedad las reglas de la nomenclatura arancelaria y los términos de comercio internacional.,3,"Distribución, seguros y contratos de compra- venta internacional","Explica las características de la distribución física, de las diferentes formas y medios de seguros, los pagos y los contratos de compra- venta internacional.",4.0,,,
30184,Verificación y análisis de formatos de organización de eventos,"Analiza, comprende y contrasta los formatos utilizados en la organización de eventos comparando las relaciones comunicativas entre ellos y las opciones ofrecidas por la tecnología.",3,Planificación y diseño-programación de eventos (Pre – Evento),"Aplica con mentalidad gerencial mecanismos comunicacionales enriquecedores de la organización de eventos, estructurando la información revisada para el diseño- programación de los diferentes estilos, modelos y formatos, con el uso de técnicas y manejo de la información entregada por el cliente",4,Producción y ejecución de eventos,"Ejecuta el evento con creatividad y generando experiencias en los asistentes. Utiliza de manera apropiada los recursos tecnológicos y los aplica en la producción y diseño de los diferentes tipos de eventos. Es capaz de resolver situaciones y contratiempos de manera organizada, con un plan de riesgos que lo respalde.",4,Evaluación y medición de resultados del evento realizado (Post – Evento),Aplica estrategias de evaluación y medición de los resultados en relación con los objetivos planteados. Asume con responsabilidad el manejo de proveedores y realiza una autoevaluación consistente.,3.0,,,
30185,El fenómeno del marketing deportivo,Obtener una visión integral sobre la importancia del marketing deportivo como una poderosa herramienta que sirve para promocionar eventos y marcas en el mundo del deporte.,3,Ideación de eventos deportivos,"Conocer el proceso de ideación de un evento deportivo, la identificación de oportunidades y factores de éxito.",4,Operación de eventos deportivos,"Adquirir conocimientos para elaborar un plan de operaciones, marketing y comunicaciones para un evento deportivo.",3,Comercialización de eventos deportivos,"Gestionar una nueva mirada a la organización de eventos deportivos con el fin de crear experiencias memorables para los participantes, espectadores, marcas y darle viabilidad para comercializarlo.",4.0,,,
30186,"Medio digital, conceptos y gestión de plataformas periodísticas en Internet",Analiza las variables inherentes a la gestión de medios en Internet y diseña un producto digital.,3,Herramientas digitales para periodistas,Selecciona y utiliza herramientas digitales 2.0 en función al perfil de audiencia y tipo de contenido.,4,Generación de contenidos de valor para audiencias digitales,Redacta contenidos aplicando técnicas para facilitar su posicionamiento orgánico en buscadores de Internet y maneja diferentes formatos de contenidos utilizados en medios digitales.,3,Herramientas digitales de análisis y monetización,"Selecciona y utiliza herramientas digitales para el análisis, optimización y monetización en función de los resultados esperados.",4.0,,,
30187,Fundamentos y métricas de los medios de comunicación,Analiza las plataformas de comunicación pagada y determina las métricas para la evaluación de los medios de comunicación.,3,"Desarrollo y análisis de compra de medios de TV, Radio, Cable e Impresos","Elabora compras individuales por cada medio de comunicación, de acuerdo al análisis de data y uso de métricas.",4,"Desarrollo y análisis de compra de medios de OOH, Digital y Nuevo Consumidor","Elabora compras individuales por cada medio de comunicación, de acuerdo al análisis de data y uso de métricas.",4,Desarrollo y análisis de Pauta Integral de Medios,Elabora una estrategia de plan integrado de medios para una marca.,3.0,,,
30188,Análisis situacional,"Analiza el entorno interno y externo de la empresa (marca, producto) para la que prepara el plan comercial.",4,Marco estratégico de marketing/comercial,"Identifica los elementos estratégicos sobre los que desarrollará el plan comercial, como un marco de referencia estratégico para la implementación táctica del plan.",3,Determinación de objetivos y formulación estratégica,"Establece los objetivos y la formulación estratégica, táctica y operativa para desarrollar las bases sobre las cuales se implementará el plan comercial.",3,Implementación y control,"Determina las actividades de implementación para las distintas variables comerciales identificadas, a fin de dar paso al desarrollo y seguimiento de las mismas.",4.0,,,
30189,El planeamiento estratégico como pieza clave para el éxito empresarial,Analiza la importancia del proceso de planificación estratégica como una herramienta crucial para asegurar el éxito en cualquier tipo de organización.,3,Análisis del entorno y diagnóstico de la empresa,"Analiza las distintas variables tanto a nivel interno como externo de una empresa para resolver problemas fundamentales, superar limitaciones, capitalizar ventajas y aprovechar oportunidades.",4,Formulación y elección de estrategias de negocios,Formula y selecciona estrategias que permitan la diferenciación de la organización y ser efectivamente competitivas.,3,"Despliegue, implementación y evaluación de las estrategias de negocios",Desarrolla el plan de implementación de la estrategia de un negocio y un sistema de control que permita planes de acción que aseguren el logro de los objetivos.,4.0,,,
30190,Planificación estratégica y diseño de presupuestos,Planifica y diseña presupuestos que contribuyan con el cumplimiento del planeamiento estratégico de una empresa e identifica los eventuales excedentes o déficits de efectivo.,4,Presupuesto operacional y presupuesto maestro,Reconoce las diferencias entre un presupuesto operacional y el presupuesto maestro.,3,Apalancamiento financiero y flujo de caja,Controla el debido apalancamiento que debe tener una empresa en función a la información obtenida en el flujo de caja.,4,Indicadores de rentabilidad y control de presupuestos,Realiza la evaluación económica-financiera de un proyecto utilizando indicadores para determinar su viabilidad y rentabilidad.,3.0,,,
